timestamp,level,user_id,action,status,message
2025-08-25 12:00:45,ERROR,user20,logout,success,logout action success
2025-08-25 12:01:07,DEBUG,user8,click_button,fail,click_button action fail
2025-08-25 12:02:18,WARN,user29,login,fail,login action fail
2025-08-25 12:03:08,DEBUG,user15,view_page,success,view_page action success
2025-08-25 12:04:18,ERROR,user11,login,fail,login action fail
2025-08-25 12:05:04,WARN,user47,view_page,success,view_page action success
2025-08-25 12:06:32,WARN,user17,upload_file,success,upload_file action success
2025-08-25 12:07:53,DEBUG,user11,download_file,success,download_file action success
2025-08-25 12:08:48,INFO,user23,download_file,success,download_file action success
2025-08-25 12:09:07,DEBUG,user49,click_button,success,click_button action success
2025-08-25 12:10:53,WARN,user7,download_file,success,download_file action success
2025-08-25 12:11:59,WARN,user23,upload_file,success,upload_file action success
2025-08-25 12:12:24,ERROR,user19,login,fail,login action fail
2025-08-25 12:13:41,INFO,user34,download_file,success,download_file action success
2025-08-25 12:14:34,WARN,user47,upload_file,fail,upload_file action fail
2025-08-25 12:15:26,DEBUG,user20,logout,fail,logout action fail
2025-08-25 12:16:45,WARN,user16,click_button,fail,click_button action fail
2025-08-25 12:17:52,WARN,user14,view_page,success,view_page action success
2025-08-25 12:18:19,DEBUG,user8,view_page,success,view_page action success
2025-08-25 12:19:10,ERROR,user14,download_file,success,download_file action success
2025-08-25 12:20:59,INFO,user43,upload_file,fail,upload_file action fail
2025-08-25 12:21:39,ERROR,user1,click_button,success,click_button action success
2025-08-25 12:22:29,DEBUG,user39,click_button,success,click_button action success
2025-08-25 12:23:04,ERROR,user23,download_file,success,download_file action success
2025-08-25 12:24:58,DEBUG,user25,login,fail,login action fail
2025-08-25 12:25:49,DEBUG,user20,login,success,login action success
2025-08-25 12:26:39,ERROR,user20,click_button,success,click_button action success
2025-08-25 12:27:52,ERROR,user1,login,success,login action success
2025-08-25 12:28:53,INFO,user45,click_button,fail,click_button action fail
2025-08-25 12:29:44,ERROR,user30,login,success,login action success
2025-08-25 12:30:00,DEBUG,user22,logout,fail,logout action fail
2025-08-25 12:31:09,DEBUG,user48,upload_file,fail,upload_file action fail
